#Software: Microsoft Internet Information Server 4.0
#Version: 1.0
#Date: 2004-03-30 01:32:28
#Fields: date time c-ip cs-username s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query sc-status sc-win32-status sc-bytes cs-bytes time-taken s-port cs-version cs(User-Agent) cs(Cookie) cs(Referer)
2004-03-30 07:18:24 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image_home/title03.gif - 304 0 142 354 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:25 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image_home/title04.gif - 304 0 141 353 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:25 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image_home/down01.jpg - 304 0 141 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:25 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/down_bg.gif - 304 0 142 349 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:27 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but01b.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:27 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but02b.gif - 304 0 141 351 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:27 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but05b.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:27 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but06b.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:27 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but08b.gif - 304 0 141 351 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:27 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but07b.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:29 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but09b.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:29 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but10b.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:29 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but03b.gif - 304 0 142 352 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:29 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but04b.gif - 304 0 141 351 0 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:37 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /jtjj/index.htm - 304 0 141 506 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 07:18:37 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_bg.gif - 304 0 141 348 15 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/index.htm
2004-03-30 07:18:37 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/flash_bg.gif - 304 0 142 351 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/index.htm
2004-03-30 07:18:37 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /flash/top01.swf - 304 0 142 277 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - -
2004-03-30 07:18:38 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/jianjie.jpg - 206 0 4520 370 468 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/index.htm
2004-03-30 07:18:38 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/bot.jpg - 304 0 141 345 15 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/index.htm
2004-03-30 07:18:38 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/mid_bg.gif - 304 0 142 349 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/index.htm
2004-03-30 07:18:43 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/left_jtjj.gif - 304 0 142 352 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:18:43 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/left100a.gif - 304 0 142 351 15 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:18:43 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/left101a.gif - 304 0 142 351 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:18:45 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /jtjj/jtjj0.htm - 200 0 12680 419 3875 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/index.htm
2004-03-30 07:18:45 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/left102a.gif - 304 0 141 350 15 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:18:45 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/midtit100.gif - 200 0 1717 263 391 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:18:45 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/left.gif - 304 0 141 346 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:18:49 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/jianjie_photo01.jpg - 200 0 19413 269 3453 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:18:49 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/jianjie_photo02.jpg - 200 0 19516 269 2765 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:18:50 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/left100b.gif - 304 0 140 349 15 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:18:50 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/left101b.gif - 200 0 920 262 515 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:18:50 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/left102b.gif - 200 0 923 262 531 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:35:28 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /css.css - 304 0 143 270 344 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - -
2004-03-30 07:36:02 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /gjhz/index.htm - 304 0 142 508 15 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/jtjj/jtjj0.htm
2004-03-30 07:36:02 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/hezuo.jpg - 304 0 142 348 15 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/gjhz/index.htm
2004-03-30 07:36:03 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /flash/top02.swf - 304 0 142 277 15 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - -
2004-03-30 07:36:03 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/hezuo02.jpg - 304 0 141 349 15 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/gjhz/index.htm
2004-03-30 07:36:08 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/left_gjhz.gif - 304 0 142 353 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/gjhz/gjhz04.htm
2004-03-30 07:36:08 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/left200a.gif - 304 0 141 351 31 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/gjhz/gjhz04.htm
2004-03-30 07:36:08 219.236.38.47 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/left201a.gif - 304 0 142 352 16 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/gjhz/gjhz04.htm
